#{"t_start": 1743700485.8270903, "env_id": "None"}
r,l,t
-2.19,159,4.998502
-3.1,10,5.067791
-3.1,10,5.136789
-3.02,7,5.188788
-2.27,211,6.682714
-3.06,7,6.739716
-2.62,114,7.614262
-3.0,20,7.769257
-2.3,167,9.127278
-2.98,42,9.439758
-1.44,328,12.206372
-3.13,12,12.290638
-3.13,4,12.317651
-2.43,130,13.320381
-2.88,62,13.799944
-3.2,9,13.863946
-2.69,40,14.187183
-3.06,7,14.259181
-1.18,415,17.415577
-3.08,22,17.582572
-3.03,5,17.620804
-2.4,125,18.803553
-3.4,15,19.007552
-2.66,95,19.910815
-3.13,4,19.945818
-2.56,85,112.759795
-2.15,170,117.484213
-3.13,4,117.577216
-2.94,31,118.353144
-2.7,125,121.537621
-2.99,2,121.612607
-2.26,183,139.721168
-3.08,14,139.960762
-0.99,424,147.640495
-1.8,287,152.235137
-2.92,43,152.86212
-0.73,478,162.11623
-0.11,536,272.212857
0.09,571,282.001077
-2.99,2,282.036079
-2.53,129,303.859931
-2.44,106,305.660635
-3.06,18,305.925628
-2.86,104,307.573723
-2.3,137,309.984759
-2.28,141,312.017348
0.91,737,426.850764
0.09,535,435.166192
-0.78,340,440.385395
-0.85,373,468.737143
-1.65,234,472.590856
-2.75,70,473.595583
-3.11,8,473.758575
-3.03,5,473.848577
-2.92,84,475.33021
-3.02,16,475.641203
-0.6,400,582.525392
-3.01,37,583.202015
-1.66,221,587.670402
-0.86,430,595.049551
-1.4,292,600.034514
-1.43,350,606.087427
-3.03,13,606.27142
-2.99,2,606.303421
1.99,876,758.762292
-2.99,2,758.80929
-2.41,126,761.420556
-3.03,13,761.68155
-2.12,203,766.495146
-2.98,4,766.615182
-2.99,2,766.68219
-2.26,145,769.942257
-1.73,221,774.279286
-2.64,111,776.215457
-3.03,5,776.289453
-1.86,264,780.665285
-2.65,78,781.941762
-2.87,7,782.061763
2.13,1014,941.361438
-3.02,16,941.702431
2.57,1018,960.862483
-1.72,294,965.272553
-2.5,78,966.452459
-2.84,60,967.462761
-2.5,105,1066.906243
-3.03,34,1067.66245
1.94,1005,1108.065294
-2.36,166,1111.137222
-2.24,141,1113.806134
-3.12,25,1114.239123
-2.76,37,1114.795117
2.98,1050,1229.274236
-2.12,184,1232.376245
-3.02,24,1232.783234
-2.99,2,1232.828241
-3.21,7,1232.96423
1.2,861,1265.296255
3.2,1024,1381.919868
-3.03,5,1382.013862
2.35,1027,1399.171448
-2.27,143,1436.7928
-2.9,78,1438.113202
-2.08,212,1441.243958
-2.85,49,1442.02397
-2.18,191,1540.176444
0.13,597,1551.877013
-2.19,179,1555.501834
1.56,842,1569.432425
-2.99,2,1569.462422
0.31,616,1719.633904
-3.19,11,1719.834896
-1.82,290,1726.199172
-2.63,68,1727.439812
2.51,1052,1746.377752
-3.03,5,1746.460751
-1.72,329,1859.830359
3.82,1050,1908.928621
-1.06,371,1916.450863
1.1,716,2030.40683
3.13,1074,2078.188932
-1.47,240,2082.656973
-0.78,443,2091.708638
-2.97,6,2091.846119
-2.97,6,2092.003119
-0.86,395,2210.706031
2.24,1015,2231.704174
-0.65,442,2283.676496
-3.04,22,2283.939227
2.18,1029,2402.042607
-0.93,323,2408.63311
3.28,1144,2569.423579
2.57,1018,2592.538922
-1.38,209,2597.046096
-0.25,511,2608.036747
0.05,635,2774.899579
-2.59,41,2775.777557
1.75,825,2790.699808
3.05,1036,2907.400464
0.46,541,2973.26538
-2.71,82,2974.849944
2.32,974,2989.561724
2.33,1014,3111.915082
-1.79,195,3149.315429
0.83,699,3163.148245
-2.76,48,3164.490754
2.4,983,3293.108685
2.99,1035,3344.715594
-2.43,168,3347.951258
0.26,603,3465.339674
-0.74,437,3474.149705
-3.17,24,3474.665385
2.27,1018,3549.528533
2.57,1028,3700.410358
-2.32,175,3704.747874
2.36,1017,3862.091376
0.13,616,3908.329476
-1.48,339,3914.295544
3.51,1047,4101.197051
2.28,997,4185.925321
-2.54,111,4187.211355
-1.28,365,4191.61897
-2.99,32,4192.041102
1.1,814,4334.976885
2.26,1038,4415.133121
2.83,1040,4549.377636
-2.9,59,4550.688213
2.75,1026,4573.123734
-2.27,140,4576.37708
3.5,1031,4825.452148
2.75,1022,4869.124953
0.72,639,5165.33472
2.15,1011,5194.877971
